Participant Private ID,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-muda,Randomise questionnaire elements?,Question Key,Response
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,BEGIN QUESTIONNAIRE,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Age,21
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Languages Known,General American English
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Native dialect,English
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Second dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Other dialects,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,% exposure,100
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,%reading,100
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,%speaking,100
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Cultures,african american
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Culture 1,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Culture 2,4
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Culture 3,3
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Culture 4,3
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Formal education,15
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Education-5,College
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Education-text,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Explain:,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Acquire Native Dialect,1
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Fluent Native Dialect,5
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Began Reading Native Dialect,3
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Reading Fluency Native Dialect,5
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Region Native Dialect,america
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Family Native Dialect,america
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,School/Work Native Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Speaking Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Understanding Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Reading Proficiency Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Friends Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Self Instruction Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Interact Family Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,TV Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Reading Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Radio Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Interacting with Friends Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Tapes Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Interacting with Family Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Watch TV Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Native Dialect Reading L1,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Listening to Radio Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Foreign accent Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Non-native speaker Native Dialect,10
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Age Acquire Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Fluent Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Began Reading Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Reading Fluency Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Region Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Family Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,School/Work Second Dialect,
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Speaking Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Understanding Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Reading Proficiency Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Friends Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Tapes Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Interact Family Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Watching TV Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Contributing Factors Reading Second dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Music Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Interacting with Friends Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Self Instruction Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Interacting with Family Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,TV Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Reading Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Radio Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Foreign accent Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,Non-native speaker Second Dialect,0
10174090,65affaed6ccdcc4e1b257d1e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1517x852,1517x731,,,,DEAP-Q,3,Version A,No,END QUESTIONNAIRE,272563
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1920x941,,,,DEAP-Q,3,Version B,No,BEGIN QUESTIONNAIRE,
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Age,30
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Languages Known,"General American English, ebonics"
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Native dialect,General American English
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Second dialect,ebonics
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Other dialects,aave
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,% exposure,General American English 80% aave 20%
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,%reading,General American English 100%
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,%speaking,General American English 50 % aave 50%
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Cultures,black
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Culture 1,5
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Culture 2,10
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Culture 3,2
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Culture 4,2
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Formal education,16
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Education-4,Some College
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Education-text,
10175247,65b022961729c69ac9c28cb4,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1926x942,1903x941,,,,DEAP-Q,3,Version B,No,Explain:,
