submission_id,participant_private_id,Race,Sex,age,dominant_dialect_1,dominant_dialect_2,native_dialect,second_dialect,other_dialects,aae_exposure,aae_speaking,x_reading,x_speaking,cultures,culture_1,culture_2,culture_3,culture_4,formal_education,education_1,education_2,education_3,education_4,education_5,education_6
65affaed6ccdcc4e1b257d1e,10174090,Black,Female,21,sae,,sae,,,0.0,0.0,0,100,african american,10,4,3,3,15.0,,,,,College,
65b022961729c69ac9c28cb4,10175247,Black,Male,30,"General American English, ebonics",,sae,aae,,0.2,0.5,0,General American English 50 % aave 50%,black,5,10,2,2,16.0,,,,Some College,,
65b03245ea9a724778ab108f,10175756,Black,Male,31,Ebonics,,English,Ebonics,none,1.0,1.0,0,"AAEnglish, 100",Black,8,7,7,7,,,,,Some College,,
65b0337d4ec8fd1dc46ff708,10175795,Black ,Female,29,"General American English, Ebonics",,English,african american english,none,0.3,0.3,10,"English, 70%  african american english, 30%",Black/African American,10,5,0,0,12.0,,,,Some College,,
65b0305c6610fdf6fb490312,10175709,Black,Female,23,"ebonics, standard english",,standard english,ebonics,,0.5,0.7,0,"ebonics,  70% ; standard english, 30%",African American,10,0,0,0,18.0,,,,,College,
65b0309a949ae9eb932905c5,10175704,Black,Female,19,"Ebonics, General American English, African American Vernacular English",,African American Vernacular English,General American English,,0.75,0.85,5,"African American Vernacular English, 85%; General American English, 15%",Black/African American,5,5,5,5,3.0,,,,,College,
65b03436c1a74cc9448a8277,10175823,,Female,33,"General American English, Nor'Eastern English, West Indian English",,General American English,Nor'Eastern English,"General American English, Nor'Eastern English, West Indian English",0.0,0.0,0,"General American English, 40%; Nor'Eastern English, 40%; West Indian English, 20%","Black/Caribbean-American, Christian, New Yorker",9,4,8,0,14.0,,,,,College,
65b033c105ea69e857be4aab,10175819,,Male,30,"General American English, Southern Ebonics, Western Ebonics, ",,Southern Ebonics,General American English,,0.25,0.25,0,GAE 75% Southern Ebonics 25%,"Southern, Black",8,8,0,0,15.0,,,,Some College,,
65b034f331eedd796fdb948b,10175857,,Female,26,"AAVE, Southern American English, General American English, Jamaican Patois ",,AAVE,Southern American English,"General American English, Jamaican Patois",0.7,0.9,85,AAVE/South= 90% General= 10%,"African-American/ADOS, Southern",8,7,0,0,16.0,,,,,College,
65b0350a50b190d33e2e8b08,10175852,,Female,36,American english,,english,,,0.0,0.0,0,100,african american,10,10,10,10,12.0,,High School,,,,
65b034d3f6b52c62a4c17e89,10175847,,Female,36,"General AMerican English, Ebonics",,General AMerican English,Ebonics,non,0.5,0.5,50,"General american english, 50%, Ebonics 50%",Black/African American,10,10,0,0,16.0,,,,,College,
65b02ffe972b97998e49007b,10175688,Black ,Female,33,"General American English, African American Vernacular English",,General American English,"African American Vernacular English, Southern American English",,0.5,0.0,0,"General American English, 100%","Black American, US-Southern",8,6,0,0,14.0,,,,Some College,,
65b035a211f31141c1e33343,10175871,,Male,34,"General American English, Black English, British English",,Black English,American English,,0.5,0.0,American English,American English,Black/African American Culture,10,0,0,0,,,,,,College,
