Submission id,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65aff0cadc56fb2747b1887c,31,Male,Black,Ghana,United States,United States,English,No,Full-Time,
65affaed6ccdcc4e1b257d1e,21,Female,Black,United States,United States,United States,English,Yes,Full-Time,
65b022961729c69ac9c28cb4,30,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking),
65b022bca6abd97470e8916e,58,Male,Black,United States,United States,United States,English,Yes,Full-Time,
65b0240a76023270c22ab2fe,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0255719adc96bbe428f4e,34,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
65b027bdb9f15538ffc72423,39,Male,Black,United States,United States,United States,English,No,Full-Time,
65b029341dededdfaa5e6677,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b029c3a94b9e1d6117959f,38,Male,Black,United States,United States,United States,English,No,Full-Time,
65b029ec4ec8fd1dc46ff469,31,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
65b02a1b53235b15e2c28914,31,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
65b02c2c301879a2d307f965,21,Female,Black,United States,United States,United States,English,Yes,Full-Time,
65b02c591d913569272e8c57,24,Male,Black,United States,United States,United States,English,No,Full-Time,
65b02c7e9bacb442db9b1b4d,37,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65b02cd8b8387df54025870a,35,Male,Black,United States,United States,United States,English,No,Full-Time,
65b02d7e2c257ef59dec29c3,28,Male,Black,Nigeria,United States,United States,English,No,Full-Time,
65b02fed669c5855ba917773,32,Female,Black,United States,United States,United States,English,No,Other,
65b02ffe972b97998e49007b,33,Female,Black,United States,United States,United States,English,No,Full-Time,
65b0305a09f89a4a243a8050,32,Male,Black,United States,United States,United States,English,No,Full-Time,
65b0305c6610fdf6fb490312,23,Female,Black,United States,United States,United States,English,Yes,Full-Time,
65b03072f7c44533a7ea43f4,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0307ac75e0c85365272fe,35,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65b0309a949ae9eb932905c5,19,Female,Black,United States,United States,United States,English,Yes,Other,
65b031062b2644b3472cbb5d,28,Male,Black,United States,United States,United States,English,No,Full-Time,
65b03155965254538646d009,22,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
65b0319e6bc85fee9e9390e8,39,Female,Black,United States,United States,United States,English,No,Full-Time,
65b031ad24a6ebc52b48a234,38,Male,Black,United States,United States,United States,English,No,Full-Time,
65b031b9b620486da0ec2c1a,37,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65b031d20420d1e795fe5e4f,23,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,
65b031eec97c198bfc2583bb,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b03245ea9a724778ab108f,31,Male,Black,United States,United States,United States,English,No,Full-Time,
65b03272e48ec2cb4791749c,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0327e6bc85fee9e93910f,32,Female,Black,United States,United States,United States,English,No,Part-Time,
65b033002932d60a046141ef,29,Male,Black,United States,United States,United States,English,Yes,Full-Time,
65b0331750b190d33e2e8a8b,37,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65b0336c9bacb442db9b1d01,29,Female,Black,United States,United States,United States,English,No,Part-Time,
65b0337d4ec8fd1dc46ff708,29,Female,Black,United States,United States,United States,English,No,Full-Time,
65b033a3d6c61305ef9b1b41,26,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED,
65b033c105ea69e857be4aab,30,Male,Black,United States,United States,United States,English,No,Full-Time,
65b033fb694de72f0b936a79,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b033fe7a3f050cb7fbcfb7,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0341a182dd435d60ecff2,37,Male,Black,United States,United States,United States,English,No,Part-Time,
65b03436c1a74cc9448a8277,33,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
